,abv,gravity,ibu,ibu_min,ibu_max,abv_min,abv_max,srm_min,srm_max,fg_min,fg_max,og_min
97,5.7,1.051,23.0,20.0,40.0,4.5,8.5,4.0,14.0,1.004,1.016,1.055
98,7.5,1.076,64.2,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
99,5.5,1.05,45.0,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
100,5.7,1.051,23.0,20.0,40.0,4.5,8.5,4.0,14.0,1.004,1.016,1.055
101,7.5,1.076,64.2,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
102,5.5,1.05,45.0,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
103,5.7,1.051,23.0,20.0,40.0,4.5,8.5,4.0,14.0,1.004,1.016,1.055
104,7.5,1.076,64.2,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
105,5.5,1.05,45.0,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
106,5.7,1.051,23.0,20.0,40.0,4.5,8.5,4.0,14.0,1.004,1.016,1.055
107,7.5,1.076,64.2,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
108,5.5,1.05,45.0,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
109,5.7,1.051,23.0,20.0,40.0,4.5,8.5,4.0,14.0,1.004,1.016,1.055
110,7.5,1.076,64.2,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
111,5.5,1.05,45.0,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
112,5.7,1.051,23.0,20.0,40.0,4.5,8.5,4.0,14.0,1.004,1.016,1.055
113,7.5,1.076,64.2,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
114,5.5,1.05,45.0,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
115,5.7,1.051,23.0,20.0,40.0,4.5,8.5,4.0,14.0,1.004,1.016,1.055
116,7.5,1.076,64.2,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
117,5.5,1.05,45.0,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
118,5.7,1.051,23.0,20.0,40.0,4.5,8.5,4.0,14.0,1.004,1.016,1.055
119,7.5,1.076,64.2,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
120,5.5,1.05,45.0,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
121,5.7,1.051,23.0,20.0,40.0,4.5,8.5,4.0,14.0,1.004,1.016,1.055
122,7.5,1.076,64.2,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
123,5.5,1.05,45.0,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
124,5.7,1.051,23.0,20.0,40.0,4.5,8.5,4.0,14.0,1.004,1.016,1.055
125,7.5,1.076,64.2,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
126,5.5,1.05,45.0,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
127,5.7,1.051,23.0,20.0,40.0,4.5,8.5,4.0,14.0,1.004,1.016,1.055
128,7.5,1.076,64.2,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
129,5.5,1.05,45.0,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
130,5.7,1.051,23.0,20.0,40.0,4.5,8.5,4.0,14.0,1.004,1.016,1.055
131,7.5,1.076,64.2,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
132,5.5,1.05,45.0,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
133,5.7,1.051,23.0,20.0,40.0,4.5,8.5,4.0,14.0,1.004,1.016,1.055
134,7.5,1.076,64.2,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
135,5.5,1.05,45.0,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
136,5.7,1.051,23.0,20.0,40.0,4.5,8.5,4.0,14.0,1.004,1.016,1.055
137,7.5,1.076,64.2,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
138,5.5,1.05,45.0,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
139,5.7,1.051,23.0,20.0,40.0,4.5,8.5,4.0,14.0,1.004,1.016,1.055
140,7.5,1.076,64.2,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
141,5.5,1.05,45.0,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
142,5.7,1.051,23.0,20.0,40.0,4.5,8.5,4.0,14.0,1.004,1.016,1.055
143,7.5,1.076,64.2,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
144,5.5,1.05,45.0,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
145,5.7,1.051,23.0,20.0,40.0,4.5,8.5,4.0,14.0,1.004,1.016,1.055
146,7.5,1.076,64.2,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
147,5.5,1.05,45.0,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
148,5.7,1.051,23.0,20.0,40.0,4.5,8.5,4.0,14.0,1.004,1.016,1.055
149,7.5,1.076,64.2,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
150,5.5,1.05,45.0,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
151,5.7,1.051,23.0,20.0,40.0,4.5,8.5,4.0,14.0,1.004,1.016,1.055
152,7.5,1.076,64.2,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
153,5.5,1.05,45.0,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
154,5.7,1.051,23.0,20.0,40.0,4.5,8.5,4.0,14.0,1.004,1.016,1.055
155,7.5,1.076,64.2,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
156,5.5,1.05,45.0,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
157,5.7,1.051,23.0,20.0,40.0,4.5,8.5,4.0,14.0,1.004,1.016,1.055
158,7.5,1.076,64.2,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
159,5.5,1.05,45.0,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
160,5.7,1.051,23.0,20.0,40.0,4.5,8.5,4.0,14.0,1.004,1.016,1.055
161,7.5,1.076,64.2,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
162,5.5,1.05,45.0,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
163,5.7,1.051,23.0,20.0,40.0,4.5,8.5,4.0,14.0,1.004,1.016,1.055
164,7.5,1.076,64.2,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
165,5.5,1.05,45.0,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
166,5.7,1.051,23.0,20.0,40.0,4.5,8.5,4.0,14.0,1.004,1.016,1.055
167,7.5,1.076,64.2,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
168,5.5,1.05,45.0,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
169,5.7,1.051,23.0,20.0,40.0,4.5,8.5,4.0,14.0,1.004,1.016,1.055
170,7.5,1.076,64.2,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
171,5.5,1.05,45.0,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
172,5.7,1.051,23.0,20.0,40.0,4.5,8.5,4.0,14.0,1.004,1.016,1.055
173,7.5,1.076,64.2,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
174,5.5,1.05,45.0,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
175,5.7,1.051,23.0,20.0,40.0,4.5,8.5,4.0,14.0,1.004,1.016,1.055
176,7.5,1.076,64.2,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
177,5.5,1.05,45.0,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
178,5.7,1.051,23.0,20.0,40.0,4.5,8.5,4.0,14.0,1.004,1.016,1.055
179,7.5,1.076,64.2,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
180,5.5,1.05,45.0,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
181,5.7,1.051,23.0,20.0,40.0,4.5,8.5,4.0,14.0,1.004,1.016,1.055
182,7.5,1.076,64.2,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
183,5.5,1.05,45.0,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
184,5.7,1.051,23.0,20.0,40.0,4.5,8.5,4.0,14.0,1.004,1.016,1.055
